Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,SaSldo
Pago con tarjeta,Actual,2025-11-18 15:25:12,2025-11-19 06:17:05,Rte Naciones,-11.60,0.00,EUR,COMPLETADO,111.52
Pago con tarjeta,Actual,2025-11-18 07:21:14,2025-11-19 06:30:54,Delikia,-0.60,0.00,EUR,COMPLETADO,110.92
Pago con tarjeta,Actual,2025-11-18 18:32:43,2025-11-19 11:16:42,Kraken,-50.00,0.00,EUR,COMPLETADO,60.92
Cambio,Actual,2025-11-22 00:02:21,2025-11-22 00:02:21,Transfer to Revolut Digital Assets Europe Ltd,-1.40,0.00,EUR,COMPLETADO,59.52
Pago con tarjeta,Actual,2025-11-22 00:02:20,2025-11-23 04:09:28,Restaurante Burmet,-19.65,0.00,EUR,COMPLETADO,39.87
Cambio,Actual,2025-11-25 14:02:42,2025-11-25 14:02:42,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,35.87
Pago con tarjeta,Actual,2025-11-25 14:02:41,2025-11-26 03:56:40,Restaurante La Venta,-12.00,0.00,EUR,COMPLETADO,23.87
Cambio,Actual,2025-11-26 19:46:28,2025-11-26 19:46:28,Transfer to Revolut Digital Assets Europe Ltd,-3.20,0.00,EUR,COMPLETADO,20.67
Recargas,Actual,2025-11-27 03:04:04,2025-11-27 03:09:27,"Pago de INDRA SISTEMAS, S.A.",1894.99,0.00,EUR,COMPLETADO,1915.66
Transferir,Actual,2025-11-27 08:29:47,2025-11-27 08:29:47,Transferencia a un cliente de Revolut,-250.00,0.00,EUR,COMPLETADO,1665.66
Pago con tarjeta,Actual,2025-11-26 19:46:27,2025-11-27 12:01:58,Pastelería Marimer,-5.20,0.00,EUR,COMPLETADO,1660.46
Cambio,Actual,2025-11-27 20:18:56,2025-11-27 20:18:56,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,1656.46
Pago con tarjeta,Actual,2025-11-27 20:18:54,2025-11-28 06:43:40,Petroprix,-60.25,0.00,EUR,COMPLETADO,1596.21
Cambio,Actual,2025-11-29 00:32:13,2025-11-29 00:32:13,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,1592.21
Cambio,Actual,2025-11-29 02:02:42,2025-11-29 02:02:42,Transfer to Revolut Digital Assets Europe Ltd,-0.36,0.00,EUR,COMPLETADO,1591.85
Cambio,Actual,2025-11-29 21:32:19,2025-11-29 21:32:19,Transfer to Revolut Digital Assets Europe Ltd,-2.08,0.00,EUR,COMPLETADO,1589.77
Pago con tarjeta,Actual,2025-11-29 00:32:12,2025-11-30 03:46:36,Furancho Garelos,-42.00,0.00,EUR,COMPLETADO,1547.77
Pago con tarjeta,Actual,2025-11-29 21:32:18,2025-11-30 06:26:55,Carrefour market,-22.48,0.00,EUR,COMPLETADO,1525.29
Pago con tarjeta,Actual,2025-11-29 02:02:42,2025-11-30 10:13:08,Uber,-19.91,0.00,EUR,COMPLETADO,1505.38
Cambio,Actual,2025-11-30 12:46:43,2025-11-30 12:46:43,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,1503.38
Cambio,Actual,2025-11-30 21:19:37,2025-11-30 21:19:37,Transfer to Revolut Digital Assets Europe Ltd,-1.36,0.00,EUR,COMPLETADO,1502.02
Pago con tarjeta,Actual,2025-11-30 12:46:41,2025-12-01 03:31:55,Primor,-67.50,0.00,EUR,COMPLETADO,1434.52
Pago con tarjeta,Actual,2025-11-30 21:19:37,2025-12-01 14:34:30,Primor,-51.66,0.00,EUR,COMPLETADO,1382.86
Cambio,Actual,2025-12-01 20:57:29,2025-12-01 20:57:29,Transfer to Revolut Digital Assets Europe Ltd,-0.12,0.00,EUR,COMPLETADO,1382.74
Cambio,Actual,2025-12-01 21:07:07,2025-12-01 21:07:07,Transfer to Revolut Digital Assets Europe Ltd,-0.04,0.00,EUR,COMPLETADO,1382.70
Cambio,Actual,2025-12-02 07:22:08,2025-12-02 07:22:08,Transfer to Revolut Digital Assets Europe Ltd,-0.80,0.00,EUR,COMPLETADO,1381.90
Pago con tarjeta,Actual,2025-12-01 21:07:06,2025-12-02 12:25:13,Douglas,-62.99,0.00,EUR,COMPLETADO,1318.91
Pago con tarjeta,Actual,2025-12-01 20:57:29,2025-12-02 12:43:36,Singularu,-57.97,0.00,EUR,COMPLETADO,1260.94
